"";"idno";"INTNUM1";"rowsum"
"1444";2308;11082;2352502,62178904
"1589";2542;22052;2454477,42950418
"466";816;39051;2468864,33692258
"263";431;25024;2623111,22178904
"1385";2217;1086;2948412,98855462
"1528";2454;38064;2985457,80457836
"140";202;18038;3184134,78143296
"1487";2389;3132;3260841,63899973
"1027";1674;15055;3338901,00220447
"170";252;24094;3379003,17490477
"836";1401;15015;3381026,3743113
"1535";2461;12044;3401289,89478608
"374";651;20070;3547991,59033504
"89";128;19061;3610448,88469706
"650";1132;2074;3629677,35888103
"1023";1667;15055;3750139,76718964
"979";1603;10120;3843023,13395522
"1652";2647;21040;3964167,06807985
"257";424;25024;4010102,96006798
"1067";1733;8254;4029143,67164068
"1033";1681;3174;4353081,70843593
"453";797;22089;4429848,62653682
"1445";2310;11013;4440731,48707094
"636";1106;22052;4507172,39686323
"410";721;25024;4645999,66748637
"1493";2401;3153;4749811,08707094
"910";1506;12031;4806360,49715996
"1494";2403;3153;4879205,69715996
"1028";1675;15055;4902413,08291664
"868";1449;11078;4925221,97312436
"96";135;19021;4937315,03306501
"951";1563;18064;4941034,43781278
"210";323;21017;4948173,82119557
"5";6;6049;4949943,3363291
"1432";2290;11013;4961065,45027569
"202";307;21021;4991734,59864364
"1552";2486;3150;4992516,2668929
"372";647;25131;5003921,06926679
"103";146;19061;5022368,36718964
"603";1049;37020;5029727,21704127
"1648";2639;6049;5031820,7891481
"377";655;20070;5112369,01526085
"908";1504;12031;5187250,34997896
"1397";2232;1086;5191827,17609172
"184";273;24094;5207535,53870299
"117";167;7008;5236393,61526086
"1223";1966;8103;5309273,79567628
"95";134;19021;5387428,29894038
"526";932;38074;5393209,25621041
"1046";1702;8254;5464177,485884
"1098";1784;6007;5498066,2437475
"800";1357;26025;5549692,99389587
"1079";1751;12045;5552806,73751605
"203";308;21017;5554868,43187807
"830";1392;11030;5575357,45917777
"275";457;23054;5576258,25442999
"774";1307;3038;5613172,17075047
"378";657;20070;5617790,92742703
"1209";1940;4213;5618117,71140329
"906";1501;12031;5621812,13692258
"384";664;20070;5626096,00813919
"1370";2196;39022;5634716,17727866
"81";112;30027;5637175,07994928
"1178";1896;4114;5640450,93573563
"1643";2630;6049;5642195,46748637
"663";1150;10091;5643914,23484543
"1628";2609;10106;5648406,56837658
"1198";1928;8102;5649538,75057243
"455";800;22089;5659054,5594745
"19";25;19034;5665749,46333207
"1227";1975;8103;5666313,26155166
"20";26;19034;5679815,71199676
"362";630;20039;5684279,64968222
"1324";2117;30002;5690704,17905907
"867";1447;11078;5691573,62238252
"136";196;18038;5693374,1131837
"265";433;25024;5694439,05086916
"148";218;38060;5725279,19270893
"1285";2058;25056;5731051,33395522
"1097";1782;1030;5731278,08944483
"1607";2580;10081;5735373,05324305
"104";147;19061;5740264,35294631
"904";1499;12031;5749725,35057243
"1222";1963;8103;5750762,73395522
"772";1303;3156;5764492,55057243
"225";361;23048;5906690,11259023
"1577";2525;9044;5961577,8585843
"1269";2032;9061;5999578,25146263
"261";428;25024;6005546,79092851
"149";219;38060;6011062,26333207
"1395";2230;1086;6013176,04908875
"812";1372;15044;6019643,86867332
"1645";2635;6049;6026029,87164068
"1283";2055;9061;6042057,53692258
"697";1191;3115;6042640,50131427
"1396";2231;2086;6044302,85324305
"132";190;30018;6045089,69953385
"1438";2298;11013;6058947,42772376
"784";1327;3110;6059406,14107688
"1147";1854;3011;6062189,74285729
"489";866;10155;6112199,25264958
"1246";1999;19002;6147009,18083949
"1200";1930;8102;6149010,27223415
"969";1588;10090;6186535,72742703
"287";475;20022;6199671,5891481
"1054";1714;8268;6241275,59567629
"228";366;23048;6247793,92624008
"137";198;18038;6251382,78083949
"850";1419;11008;6251782,6668929
"1421";2267;11082;6253330,1238662
"1410";2250;15043;6255418,69122525
"399";706;22025;6260723,67994928
"53";71;10050;6288748,37312436
"631";1099;22052;6293231,85739735
"814";1374;15044;6294731,63484542
"432";767;37001;6299612,5826199
"1291";2069;25056;6303852,77312436
"349";609;25072;6319593,53158133
"1141";1843;3010;6333799,65621041
"1393";2228;1086;6343983,2206021
"340";589;21033;6383840,69834691
"1441";2304;11082;6387603,54523118
"155";228;25007;6393606,07935581
"1096";1781;1030;6413263,66511249
"1219";1959;8230;6414177,44137361
"169";250;24094;6419373,86333207
"892";1486;10039;6512203,25680388
"478";838;10155;6521325,36600269
"236";388;25004;6564082,41585433
"1565";2506;10103;6564133,26570596
"1367";2190;39022;6565078,87579498
"1678";2686;9093;6579148,86392554
"597";1043;37020;6596036,18261991
"975";1597;9022;6635083,7553202
"884";1469;3089;6671385,7321748
"256";423;25024;6715852,51911842
"1296";2074;39059;6720274,65264958
"1633";2616;21041;6721041,37668519
"1659";2659;19003;6721682,67401456
"295";494;20022;6725420,84018667
"1182";1900;4114;6727380,6206021
"1135";1835;2005;6735224,55888103
"1056";1716;8265;6735225,80457836
"97";139;19002;6754735,66570596
"1483";2384;3171;6755074,40754572
"1117";1812;2005;6756042,50190774
"61";82;15051;6759769,59626976
"940";1544;18013;6759874,95591367
"965";1583;10090;6766082,68469706
"1062";1725;8118;6769240,89122525
"338";586;21033;6778936,35294631
"205";313;21017;6781985,76125492
"116";166;7008;6783883,39389587
"1001";1637;30016;6791201,77134394
"1082";1754;12045;6791692,58261991
"688";1179;3107;6792566,27045373
"863";1441;11092;6799900,83306501
"153";223;25007;6801826,65383652
"43";59;10080;6806576,15235284
"1110";1803;12046;6815015,46036471
"1164";1877;2011;6817392,24849528
"513";906;7008;6818692,32327272
"1218";1958;8230;6827362,13514216
"527";934;38074;6840757,02831723
"1225";1970;8103;6841518,89478608
"141";206;18038;6858603,02534988
"436";777;15050;6870106,0627386
"742";1257;39003;6871386,58499379
"1479";2379;3171;6878083,99033504
"1570";2515;3104;6913889,12920744
"564";987;10073;6928744,87816887
"1615";2592;8262;6929867,47876234
"1613";2587;11001;6931682,42653682
"1306";2090;39020;6962199,4206021
"179";265;24094;7002037,32149231
"297";498;29090;7021107,06629943
"1671";2677;2002;7021136,94285729
"1166";1879;2011;7099313,23899973
"220";352;23048;7126348,10724899
"175";259;24094;7153826,66095818
"849";1418;11008;7238870,38736768
"926";1526;10050;7297935,81704127
"502";892;39060;7301901,08351011
"1581";2531;9044;7302142,79805017
"422";751;4216;7305760,12980091
"647";1121;2074;7310791,40339142
"209";320;25053;7310924,74048341
"773";1305;3038;7311073,24849528
"611";1063;1014;7316604,09063177
"1551";2485;3104;7318278,45027569
"930";1530;10050;7323055,97609172
"1403";2242;15043;7324847,9280205
"1545";2478;3104;7331777,3238662
"1039";1689;3174;7332907,29419261
"842";1410;11008;7341550,91437065
"62";83;15051;7344882,24196709
"1465";2352;6100;7385169,49597302
"1590";2543;22052;7416645,44196709
"255";421;25024;7416912,80576531
"957";1574;18064;7417397,92920744
"448";791;1071;7437708,97253088
"758";1285;37022;7449147,72861397
"488";862;10017;7459595,11793148
"157";230;25007;7463735,46867332
"357";623;25035;7465180,20457836
"898";1492;10050;7465427,81407391
"78";107;30027;7465585,80754572
"1189";1910;10108;7468973,44493445
"1251";2010;23085;7469172,81466738
"652";1134;11007;7472288,89063177
"805";1364;26025;7475256,97787213
"1419";2263;25155;7486169,35057243
"618";1073;1014;7491972,31793148
"599";1045;37020;7502112,70250121
"1042";1694;8268;7622308,0057653
"285";472;23054;7623481,14760507
"947";1558;3156;7631028,0206021
"1313";2101;18040;7635355,54938548
"1462";2349;6100;7648883,75650715
"1517";2441;37002;7686622,15353979
"729";1237;3200;7728906,70724899
"878";1462;3089;7733487,30606204
"968";1587;10090;7773806,29894038
"588";1028;1059;7892188,63781278
"339";587;21033;7908151,08825789
"216";346;23048;7910641,73098786
"1502";2414;4050;7937807,40042406
"1279";2048;9061;7960512,55294631
"1290";2068;25056;7961468,21526085
"352";616;25035;7969108,00517183
"1556";2493;3150;7976695,33929646
"971";1591;9022;7986341,82297599
"988";1617;10082;7992142,55710062
"1221";1962;8103;7998248,12327272
"851";1421;9063;8023778,47223415
"731";1239;6049;8027974,58914809
"426";759;37001;8027994,37609172
"560";982;10074;8031327,82119557
"711";1210;15007;8032252,11140329
"932";1533;10039;8033012,91615106
"927";1527;10039;8037320,84196709
"105";148;19061;8040156,24849528
"506";896;39060;8041518,36006798
"158";232;25007;8043462,99508281
"714";1216;1030;8044768,7553202
"929";1529;10039;8051468,61288697
"616";1068;1054;8054186,12267925
"1386";2219;1086;8074136,73751605
"781";1319;3165;8100574,27520151
"32";46;18026;8101205,40398489
"1004";1642;8258;8150135,11911842
"715";1217;1030;8185540,22000863
"1588";2541;22052;8190716,65264958
"1515";2437;37002;8192074,4354389
"219";351;23048;8257829,32149231
"1048";1705;8254;8262725,7131837
"1297";2076;39059;8264879,12267925
"281";467;23038;8288038,00873266
"1030";1678;15055;8297238,76837658
"435";775;15050;8303488,66629943
"1325";2118;30002;8308068,9363291
"642";1114;39025;8332514,94819854
"1446";2316;11082;8343567,01288697
"70";94;15047;8355126,4627386
"1434";2292;11013;8365916,46392554
"832";1394;15015;8394742,13929646
"1065";1729;8265;8405149,27223415
"217";349;23048;8408796,75294632
"1518";2442;37002;8409540,84196709
"1490";2393;3132;8413166,33454869
"1664";2666;19003;8414443,45442999
"230";371;24038;8416886,74641812
"1391";2225;1086;8422480,36303534
"1158";1870;3010;8428111,96422228
"441";782;15050;8444409,06451902
"1234";1984;9082;8531398,13158133
"1347";2160;9074;8558020,19686323
"333";570;26015;8558551,59864364
"689";1181;3107;8564630,51021635
"1329";2123;2011;8611927,08291664
"1323";2116;30002;8630851,79508281
"853";1425;9063;8638853,46511249
"106";149;19061;8659474,77965255
"770";1301;3038;8674773,35710062
"796";1351;3110;8696759,7090294
"390";673;20041;8787426,65264958
"85";118;19061;8838118,56659617
"589";1031;20062;8875433,55769409
"902";1497;10039;8882094,42653682
"915";1511;12000;8985682,94523118
"462";810;39051;8986857,9238662
"75";100;15051;8987426,50784246
"186";276;25065;8987533,96778311
"1193";1918;10108;8996220,03781278
"1574";2520;3104;8997456,78618073
"1544";2477;3104;9001591,14523118
"677";1165;38041;9005213,40932614
"1600";2559;3040;9011313,48647747
"1519";2443;37002;9011871,05264958
"262";430;25024;9016045,16066145
"294";493;20022;9019633,92445967
"1571";2516;3104;9023852,69300566
"355";621;25035;9024299,44196709
"1333";2128;2011;9025818,09063177
"1547";2480;3104;9026501,29419261
"1576";2523;3104;9030809,38796115
"301";507;29090;9040677,53098786
"1245";1998;19002;9043844,05680388
"532";943;22052;9078135,88825789
"726";1233;3130;9078614,13692258
"88";126;19061;9118727,21407391
"860";1434;11092;9123218,50309468
"534";948;22052;9136609,99092851
"92";131;19002;9136787,68054275
"657";1141;11007;9159526,97134394
"545";963;10080;9169629,19270893
"72";96;15050;9182288,570157
"348";608;25072;9249541,81407391
"190";286;21021;9251519,03306501
"1126";1821;2005;9269645,56006798
"212";328;21017;9307003,0627386
"1596";2553;3040;9338595,80873266
"1066";1731;8268;9358958,37668519
"1369";2195;39022;9363666,0437475
"859";1432;9063;9374133,12505314
"1006";1646;8258;9406484,84552792
"300";506;20022;9428418,88647747
"1264";2025;19051;9430345,34048341
"710";1209;15007;9436962,52564661
"1537";2466;12044;9444506,39033504
"33";47;18026;9456914,10784246
"411";728;20044;9482623,2354389
"802";1360;26025;9497816,36659617
"1496";2407;3153;9534120,62891071
"330";567;21033;9541673,85799082
"1412";2254;25155;9547547,35710062
"699";1194;3115;9565486,64493445
"1427";2278;11013;9579079,75057243
"864";1443;11092;9598362,39389587
"467";818;39051;9609460,2247564
"320";549;23011;9635948,62653682
"1170";1884;2011;9677226,53692258
"1091";1769;21040;9709760,50606204
"404";715;25024;9711518,58024602
"831";1393;11030;9726927,72980091
"433";771;15050;9727765,82831723
"1660";2661;19003;9729898,28054275
"325";561;21033;9742984,47045373
"660";1146;11008;9745063,285884
"7";8;6049;9751966,85799083
"1310";2096;18040;9753314,32742703
"1481";2382;3171;9754401,5321748
"278";460;23038;9755126,085884
"321";550;23011;9756765,57668519
"30";44;18026;9759763,01051308
"1040";1690;3174;9761058,12030536
"819";1380;15044;9762538,90665551
"972";1592;9022;9766596,26748637
"1118";1813;2005;9777556,31555759
"1449";2320;9009;9781382,7784656
"1420";2265;11082;9788580,75235284
"967";1585;10090;9796441,12208578
"181";268;24097;9833090,94226382
"617";1072;1054;9857327,80932614
"16";21;19034;9877833,2247564
"1083";1755;12045;9878190,43899973
"556";976;8250;9922897,67638845
"841";1409;11008;9935497,28291664
"671";1158;10091;9945931,92505314
"540";955;10080;9954775,485884
"634";1103;22052;9955616,78677421
"1069";1735;8118;9983029,94107688
"10";12;6049;9994751,94819854
"577";1014;1059;10019567,4354389
"693";1187;3115;10036529,9618484
"120";172;15018;10054031,970157
"472";825;23085;10064204,4674864
"1022";1666;8258;10065648,9458247
"1448";2318;9009;10065976,8918187
"3";4;6049;10067735,8698603
"1077";1749;12045;10076064,4300977
"280";463;23038;10084617,4122935
"1668";2672;2002;10087322,8069522
"392";684;20041;10101225,3446377
"1636";2619;21041;10143387,8924122
"1669";2673;2002;10159388,5731244
"925";1525;10050;10180407,5571006
"187";278;25065;10185888,9654092
"1637";2621;21041;10197305,3048751
"1271";2034;9099;10205400,3030947
"1546";2479;3104;10223035,1517594
"306";527;23011;10236404,3737178
"1456";2337;6100;10243196,9962698
"1086";1761;20062;10244681,4306911
"1312";2100;18040;10248051,6562104
"924";1523;12046;10255929,1125902
"1139";1839;3011;10256503,6425606
"725";1232;3130;10259615,7826199
"1400";2237;1086;10264892,2265368
"1199";1929;8102;10275371,222976
"1468";2356;38048;10278489,5636288
"1034";1683;3174;10278731,5197119
"1398";2233;1086;10280498,5778721
"1197";1927;8102;10290167,801611
"21";27;19034;10297814,5962698
"879";1463;3089;10298676,2829166
"168";249;24094;10300536,1796525
"661";1147;10091;10300760,128614
"1540";2473;3104;10301280,2876644
"147";217;38060;10303750,1149641
"367";640;25131;10308736,5796525
"1621";2601;8262;10311008,2627386
"1620";2600;8262;10317042,7090294
"548";966;8250;10317204,2573974
"943";1549;18013;10322692,3339552
"950";1562;3156;10324592,6740146
"1260";2020;19051;10327064,8075457
"767";1298;3117;10338395,7820264
"38";54;10080;10357012,8906318
"1587";2540;22052;10362486,6888514
"1548";2482;3104;10364092,7102163
"1368";2193;39022;10386623,3298009
"645";1118;39025;10421210,0158543
"607";1055;37020;10425835,7404834
"353";618;20039;10426980,875795
"1267";2030;19051;10427985,7861807
"396";696;22025;10440532,0081392
"444";787;1071;10442737,5256466
"1610";2583;11001;10450235,6241629
"1060";1722;8265;10454604,8722341
"450";794;1071;10462022,5636288
"792";1342;3166;10463326,6467149
"94";133;19021;10471422,8479018
"1366";2189;39022;10490398,0900383
"621";1079;1014;10499042,85443
"741";1255;39003;10511790,4550235
"1423";2270;11013;10517284,9677831
"1439";2300;11082;10531984,918525
"1190";1913;10108;10570793,4419671
"728";1235;3131;10575183,1398899
"1216";1955;8230;10588330,4105131
"676";1164;38041;10601315,581433
"567";997;6049;10601706,6111066
"447";790;1071;10617416,3642223
"592";1037;20062;10620747,7855873
"539";954;10080;10624684,6817297
"1566";2509;10103;10635101,7547267
"1516";2439;37002;10639467,9879612
"1057";1717;8254;10648414,981433
"143";211;38060;10659881,5772787
"172";254;24094;10662873,7428573
"403";714;25024;10663300,9244597
"530";941;22052;10666616,527427
"655";1138;11007;10676895,2223825
"15";20;19034;10678214,6389997
"585";1023;1060;10678669,4075457
"962";1579;10090;10686452,5844003
"923";1522;12046;10708365,3143706
"568";1001;6049;10713148,5630353
"1584";2536;9044;10745343,9363291
"613";1065;1071;10753777,5048751
"928";1528;10050;10756358,6579908
"445";788;1071;10762493,5434508
"1181";1899;4050;10771578,2668929
"1529";2455;38064;10778303,1470116
"1113";1806;12046;10778938,1547267
"754";1278;37022;10803515,5950828
"461";809;39057;10851087,2918187
"1153";1861;3010;10854382,370157
"1382";2212;39052;10900879,3962698
"442";784;1071;10914257,8200086
