"";"idno";"INTNUM1";"rowsum";"count"
"1";2;6049;32800373,6401867;30
"2";3;6049;18933640,5102163;30
"3";4;6049;10067735,8698603;30
"4";5;6049;30321732,3559137;30
"5";6;6049;4949943,3363291;30
"6";7;6049;17861066,3749048;30
"7";8;6049;9751966,85799083;30
"8";9;6049;45613716,9428573;30
"9";11;6049;16694364,191522;30
"10";12;6049;9994751,94819854;30
"11";14;19034;28696383,8211956;16
"12";15;19034;11309503,758881;16
"13";16;19034;16922769,3660027;16
"14";18;19034;13581515,0906318;16
"15";20;19034;10678214,6389997;16
"16";21;19034;9877833,2247564;16
"17";22;19034;11741523,9541333;16
"18";23;19034;25746602,5630353;16
"19";25;19034;5665749,46333207;16
"20";26;19034;5679815,71199676;16
"21";27;19034;10297814,5962698;16
"22";30;19034;37417904,5351422;16
"23";31;19034;16136861,927427;16
"24";32;19034;18876112,781433;16
"25";37;19034;28666601,9992371;16
"26";39;19034;11791475,6508692;16
"27";40;18026;23992332,6894448;10
"28";41;18026;11332136,4870709;10
"29";42;18026;29645225,590335;10
"30";44;18026;9759763,01051308;10
"31";45;18026;15807869,2306911;10
"32";46;18026;8101205,40398489;10
"33";47;18026;9456914,10784246;10
"34";49;18026;12044084,306062;10
"35";50;18026;16831517,1422638;10
"36";51;18026;16872509,3001273;10
"37";53;10080;23409222,2787623;22
"38";54;10080;10357012,8906318;22
"39";55;10080;13886880,4579908;22
"40";56;10080;13445564,9452312;22
"41";57;10080;74062337,9220858;22
"42";58;10080;91670783,212887;22
"43";59;10080;6806576,15235284;22
"44";60;10080;29673754,9493855;22
"45";62;10080;23592591,0455279;22
"46";63;10080;28690573,6906318;22
"47";64;10080;30288602,0063588;22
"48";65;10080;36592087,2846971;22
"49";66;10039;30278280,0734211;16
"50";67;10050;27064073,6146674;16
"51";68;10050;33693909,474608;16
"52";69;10039;30712661,4817297;16
"53";71;10050;6288748,37312436;16
"54";72;10050;40125117,0158543;16
"55";73;10050;28549644,7879612;16
"56";74;10039;46132056,8206021;16
"57";75;10039;19702328,4366258;16
"58";76;10039;60418336,7511659;16
"59";80;15047;16690759,034252;9
"60";81;15047;11239548,4033914;9
"61";82;15051;6759769,59626976;6
"62";83;15051;7344882,24196709;6
"63";84;15051;30171933,9950828;6
"64";85;15050;22291961,3529463;12
"65";86;15047;24667610,7630353;9
"66";88;15047;20075662,7256466;9
"67";90;15047;26427473,9938959;9
"68";91;15047;46912734,2876644;9
"69";92;15047;15156011,8573974;9
"70";94;15047;8355126,4627386;9
"71";95;15047;30548477,8075457;9
"72";96;15050;9182288,570157;12
"73";97;15051;14824279,0401867;6
"74";98;15051;12730220,3879612;6
"75";100;15051;8987426,50784246;6
"76";103;15050;24546748,8870709;12
"77";105;30027;12625609,907249;8
"78";107;30027;7465585,80754572;8
"79";108;30027;26016304,8597712;8
"80";109;30027;41256404,0164478;8
"81";112;30027;5637175,07994928;8
"82";113;30027;38956647,3707505;8
"83";114;30027;30346125,5179315;8
"84";115;30027;23048233,25443;8
"85";118;19061;8838118,56659617;14
"86";121;19061;12874821,601611;14
"87";123;19061;30296333,2413736;14
"88";126;19061;9118727,21407391;14
"89";128;19061;3610448,88469706;14
"90";129;19061;42831008,895973;14
"91";130;19061;33691110,7719374;14
"92";131;19002;9136787,68054275;13
"93";132;19021;16298696,874608;4
"94";133;19021;10471422,8479018;4
"95";134;19021;5387428,29894038;4
"96";135;19021;4937315,03306501;4
"97";139;19002;6754735,66570596;13
"98";141;19002;16747521,0734211;13
"99";142;19002;11710295,5025012;13
"100";143;19002;20752291,4022045;13
"101";144;19061;25608616,5553202;14
"102";145;19061;57195325,8651125;14
"103";146;19061;5022368,36718964;14
"104";147;19061;5740264,35294631;14
"105";148;19061;8040156,24849528;14
"106";149;19061;8659474,77965255;14
"107";151;19061;23353353,465706;14
"108";157;7008;12974090,9066555;22
"109";158;7008;49655145,6348454;22
"110";159;7008;17000038,7790591;22
"111";160;7008;30325738,4532431;22
"112";161;7008;25256969,0716407;22
"113";162;7008;17197502,6603647;22
"114";164;7008;12627815,3642223;22
"115";165;7008;11714705,4520561;22
"116";166;7008;6783883,39389587;22
"117";167;7008;5236393,61526086;22
"118";169;7008;12351602,0639255;22
"119";171;15018;26426123,7553202;9
"120";172;15018;10054031,970157;9
"121";173;15018;27239477,5820264;9
"122";174;15018;31263305,4752015;9
"123";175;15018;11115545,2490887;9
"124";176;15018;14253995,2799493;9
"125";179;15018;29984007,4609582;9
"126";181;15018;20727855,0680798;9
"127";182;15018;11767529,7660027;9
"128";183;30018;23862774,0900383;8
"129";185;30018;10962201,5137772;8
"130";187;30018;14467197,612887;8
"131";188;30018;55371657,1559137;8
"132";190;30018;6045089,69953385;8
"133";191;30018;27212695,8882579;8
"134";192;30018;39979941,1529463;8
