"";"idno";"INTNUM1";"rowsum";"count"
"1";2;6049;32800373,6401867;30
"11";14;19034;28696383,8211956;16
"27";40;18026;23992332,6894448;10
"37";53;10080;23409222,2787623;22
"49";66;10039;30278280,0734211;16
"50";67;10050;27064073,6146674;16
"59";80;15047;16690759,034252;9
"61";82;15051;6759769,59626976;6
"64";85;15050;22291961,3529463;12
"77";105;30027;12625609,907249;8
"85";118;19061;8838118,56659617;14
"92";131;19002;9136787,68054275;13
"93";132;19021;16298696,874608;4
"108";157;7008;12974090,9066555;22
"119";171;15018;26426123,7553202;9
"128";183;30018;23862774,0900383;8
"136";196;18038;5693374,1131837;7
"143";211;38060;10659881,5772787;9
"152";222;25007;50332003,4395932;7
"159";236;10092;12555515,7891481;8
"167";248;24094;14291004,8336585;17
"181";268;24097;9833090,94226382;1
"185";275;25065;13114951,5838068;5
"190";286;21021;9251519,03306501;12
"191";287;2102;30718707,9933024;1
"203";308;21017;5554868,43187807;8
"206";316;25053;13301464,3404834;4
"215";345;23048;30730551,8835101;14
"229";368;24038;11755437,0674864;6
"235";384;25004;13630851,9743113;4
"239";393;25106;16156656,5565071;7
"246";411;25024;14429350,095973;29
"266";434;29022;30328425,4366258;5
"267";435;20037;29661497,6526496;2
"273";454;23054;22340377,1885546;8
"276";458;23038;22621669,2484953;6
"287";475;20022;6199671,5891481;8
"289";480;29090;30312702,4787623;8
"303";512;25018;23826662,0069522;3
"306";527;23011;10236404,3737178;7
"307";528;21082;11488173,6900383;11
"324";560;21033;12430677,2603647;11
"326";563;26015;40287412,1048751;6
"341";593;25072;18500068,0366258;9
"350";613;25035;29627477,6081392;8
"351";614;20039;18983572,4591778;5
"363";633;25131;19079758,2841036;10
"373";649;20070;34935693,7891481;16
"389";672;20041;61530275,3404834;5
"394";691;22025;49378296,8870709;8
"400";711;23032;18904863,3642223;2
"411";728;20044;9482623,2354389;6
"419";744;4216;48358459,8841036;6
"425";757;37001;29587561,9446377;8
"442";784;1071;10914257,8200086;16
"452";796;22089;16777388,4093261;9
"461";809;39057;10851087,2918187;1
"462";810;39051;8986857,9238662;9
"471";822;23085;63250216,580246;15
"477";836;10155;27210867,0983469;6
"479";843;10152;26059764,9191184;1
"480";844;10017;16901516,7404834;8
"492";875;9085;16892361,4158543;9
"501";890;39060;35549462,0888514;9
"521";926;38074;30324133,0995339;8
"529";940;22052;14765180,3719374;27
"547";965;8234;15281769,8413736;1
"548";966;8250;10317204,2573974;10
"558";978;10074;14205996,0407801;4
"559";979;10073;24099562,8081392;5
"570";1005;1059;18814211,5844003;9
"571";1006;1060;28623212,1013143;10
"589";1031;20062;8875433,55769409;11
"590";1032;21040;14775011,3333617;9
"597";1043;37020;6596036,18261991;11
"608";1056;1040;32730270,9885546;4
"611";1063;1014;7316604,09063177;7
"616";1068;1054;8054186,12267925;3
"637";1108;39025;30317674,1933024;10
"647";1121;2074;7310791,40339142;5
"652";1134;11007;7472288,89063177;8
"660";1146;11008;9745063,285884;11
"661";1147;10091;10300760,128614;12
"673";1160;38041;38268104,5102163;11
"684";1175;3107;11051408,748792;9
"693";1187;3115;10036529,9618484;9
"702";1199;15007;19690579,8223825;10
"712";1212;1030;56995717,9114033;15
"721";1226;3130;70032278,1778721;4
"722";1228;3200;12988730,664519;4
"728";1235;3131;10575183,1398899;1
"739";1251;39003;33695045,5689701;15
"754";1278;37022;10803515,5950828;7
"761";1290;3117;39505186,021789;9
"762";1291;3038;31479705,9078425;8
"772";1303;3156;5764492,55057243;8
"779";1316;3166;45859505,9832134;5
"780";1317;3165;16903637,1404834;8
"782";1321;3110;32039900,5298009;6
"798";1355;26025;53056878,464519;10
"808";1368;15044;17805450,4010175;12
"820";1382;11033;11126565,8134804;4
"822";1384;11030;14784063,4953795;8
"832";1394;15015;8394742,13929646;9
"851";1421;9063;8023778,47223415;9
"860";1434;11092;9123218,50309468;7
"867";1447;11078;5691573,62238252;9
"876";1459;3089;23782191,8194152;10
"886";1474;10086;71278017,0461214;5
"903";1498;12031;11033801,1381095;12
"915";1511;12000;8985682,94523118;4
"916";1512;12046;37078260,3891481;14
"935";1537;18013;22888015,6947861;9
"951";1563;18064;4941034,43781278;8
"959";1576;10090;73992558,1885546;11
"970";1589;9021;65187259,3998306;2
"971";1591;9022;7986341,82297599;7
"979";1603;10120;3843023,13395522;7
"986";1615;10082;13055204,4864775;4
"990";1623;10081;30281227,4532431;9
"995";1629;30016;38501334,3339552;9
"1004";1642;8258;8150135,11911842;19
"1023";1667;15055;3750139,76718964;9
"1032";1680;3174;20698541,1725309;10
